icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
SSEI,,Fazenda Santo Andre Airport,Miranda,Mato-Grosso-do-Sul,BR,489,-20.3386116,-56.69833374,America/Campo_Grande,
SSEK,,Fazenda Lontra Airport,Ribas Do Rio Pardo,Mato-Grosso-do-Sul,BR,1299,-20.0177784,-53.25249863,America/Campo_Grande,
SSEL,,Fazenda Jatiuca Airport,Agua Clara,Mato-Grosso-do-Sul,BR,1601,-20.1697216,-52.93305588,America/Campo_Grande,
SSEO,,Fazenda Mimoso Airport,Ribas Do Rio Pardo,Mato-Grosso-do-Sul,BR,1299,-20.73444366,-53.57666779,America/Campo_Grande,
SSEP,,Sao Sepe Airport,Sao Sepe,Rio Grande do Sul,BR,502,-30.18219948,-53.57939911,America/Sao_Paulo,
SSEQ,,Fazenda Rio Brilhante Airport,Angelica,Mato-Grosso-do-Sul,BR,1099,-21.92333221,-53.93999863,America/Campo_Grande,
SSER,ERM,Erechim Airport,Erechim,Rio Grande do Sul,BR,2498,-27.66189957,-52.2682991,America/Sao_Paulo,
SSES,,Encruzilhada do Sul Airport,Encruzilhada Do Sul,Rio Grande do Sul,BR,1460,-30.55888939,-52.58250046,America/Sao_Paulo,
SSET,,Tambau Airport,Tambau,São Paulo,BR,2451,-21.69722222,-47.31555556,America/Sao_Paulo,
SSEU,,Monte Carmelo Airport,Itaituba,Pará,BR,915,-7.283055782,-56.57694244,America/Santarem,
SSEV,,Sao Camilo Airport,Corumba,Mato-Grosso-do-Sul,BR,289,-18.08722115,-57.13138962,America/Campo_Grande,
SSEW,,Sitio Limoeiro Airport,Pardinho,São Paulo,BR,3084,-23.15,-48.31,America/Sao_Paulo,
SSEX,,Estancia Caiman Airport,Miranda,Mato-Grosso-do-Sul,BR,361,-19.96611023,-56.31083298,America/Campo_Grande,
SSEY,,Estancia Itapororo Airport,Alegrete,Rio Grande do Sul,BR,197,-29.43388939,-56.30055618,America/Sao_Paulo,
SSEZ,,Espumoso Airport,Espumoso,Rio Grande do Sul,BR,1198,-28.73749924,-52.85638809,America/Sao_Paulo,
SSFA,,Foz do Areia Airport,Pinhao,Paraná,BR,3645,-25.98150063,-51.64070129,America/Sao_Paulo,
SSFB,FBE,Francisco Beltrao Airport,Francisco Beltrao,Paraná,BR,2100,-26.05920029,-53.06349945,America/Sao_Paulo,
